rownames,BackpackWeight,BodyWeight,Ratio,BackProblems,Major,Year,Sex,Status,Units
84,10,110,0.0909091,0,CE,2,Female,U,16
54,16,190,0.0842105,0,Bus,2,Male,U,14
71,6,180,0.0333333,0,ME,4,Male,U,15
46,5,115,0.0434783,0,Soc. Sci.,1,Female,U,13
45,10,140,0.0714286,0,LS,1,Female,U,14
40,8,143,0.0559441,0,Psy,2,Female,U,17
23,11,145,0.0758621,0,CE,5,Male,U,14
81,25,175,0.142857,1,CE,4,Female,U,15
11,8,135,0.0592593,0,Bus,3,Female,U,15
1,9,125,0.072,1,Bio,3,Female,U,13
19,10,125,0.08,1,LS,3,Female,U,17
31,10,145,0.0689655,1,GRC,1,Female,U,14
74,14,125,0.112,0,Pols,2,Female,U,17
34,7,145,0.0482759,0,CPE,6,Male,U,11
91,18,150,0.12,0,IT,6,Male,U,17
5,8,180,0.0444444,0,EE,2,Female,U,14
77,2,105,0.0190476,0,IE,6,Female,U,15
78,8,125,0.064,1,Pols,5,Female,U,16
13,11,170,0.0647059,0,CPE,4,Male,U,16
32,15,120,0.125,1,MLL,3,Female,U,16
56,17,144,0.118056,1,Bio,2,Female,U,13
89,20,170,0.117647,1,Bus,3,Male,U,18
27,8,150,0.0533333,0,AGB,4,Male,U,16
43,10,130,0.0769231,0,Nut.,3,Female,U,16
70,5,125,0.04,1,ARCE,2,Female,U,16
16,11,175,0.0628571,0,CPE,4,Male,U,16
41,8,145,0.0551724,1,AGB,4,Female,U,16
97,6,195,0.0307692,0,APIO,1,Male,U,16
10,2,120,0.0166667,0,Bio,5,Female,U,8
73,14,150,0.0933333,0,Aero,2,Male,U,14
12,21,160,0.13125,0,ME,5,Male,U,12
48,5,150,0.0333333,0,SPC,2,Female,U,14
86,13,135,0.0962963,0,LS,4,Female,U,16
29,25,190,0.131579,0,Aero Eng.,2,Male,U,14
94,13,155,0.083871,0,Psy,4,Male,U,14
6,5,240,0.0208333,0,History,0,Male,G,0
67,12,127,0.0944882,1,Phys,5,Female,U,16
66,35,195,0.179487,0,Aero,5,Male,U,12
36,17,145,0.117241,0,Psych,4,Female,U,13
17,13,145,0.0896552,1,Bio,4,Female,U,16
50,10,150,0.0666667,0,CD,3,Female,U,16
35,14,165,0.0848485,1,Math,5,Female,U,12
8,4,185,0.0216216,1,ARCE,5,Female,U,18
96,14,165,0.0848485,0,ME,3,Male,U,11
28,5,140,0.0357143,0,Poli Sci,2,Female,U,16
20,5,165,0.030303,0,Bio,3,Male,U,14
82,24,145,0.165517,1,Bus,3,Female,U,16
26,18,160,0.1125,1,Mate,1,Male,U,13
63,11,180,0.0611111,1,Kine,4,Male,U,18
14,11,170,0.0647059,1,CPE,4,Male,U,16
