rownames,company,name,codename,cores,threads,base_clock,boost_clock,socket,process,l3_cache,tdp,released
798,Intel,Core i7-4950HQ,Crystalwell,4,8,2.4,3.6,BGA1364,22,8.0,47,2013-06-07
320,AMD,Phenom II X3 715 BE,Heka,3,3,2.8,,AM2+,45,6.0,95,2010-10-01
383,AMD,FX-4120,Zambezi,4,4,3.9,4.1,AM3+,32,8.0,95,2012-10-23
791,Intel,Core i5-8259U,Coffee Lake-U,4,8,2.3,3.8,BGA1356,14,6.0,28,2018-04-05
423,AMD,Ryzen 5 1500X,Zen,4,8,3.5,3.7,AM4,14,16.0,65,2017-04-11
328,AMD,Phenom II X6 1065T,Thuban,6,6,2.9,3.4,AM3,45,6.0,125,2010-12-07
807,Intel,Core i7-4850EQ,Crystalwell,4,4,1.6,3.2,BGA1364,22,8.0,47,2013-08-29
137,Intel,Core i7-8086K,Coffee Lake,6,12,4.0,5.0,1151,14,12.0,95,2018-06-05
686,Intel,Atom N550,Pineview,2,4,1.5,,BGA 559,45,,9,2010-08-23
780,Intel,Core M-5Y51,Broadwell-Y,2,4,1.1,2.6,BGA1234,14,4.0,5,2014-10-27
324,AMD,Phenom II X6 1090T BE,Thuban,6,6,3.2,3.6,AM3,45,6.0,125,2010-04-27
345,AMD,Athlon II X3 445,Rana,3,3,3.1,,AM3,45,,95,2010-05-11
498,AMD,Ryzen 5 2600H,Raven Ridge,4,8,3.3,3.6,FP5,14,4.0,15,2018-05-30
228,Intel,Xeon W3680,Gulftown,6,12,3.333,3.6,1366,32,12.0,130,2010-03-16
45,Intel,Core i5-4590,Haswell,4,4,3.3,3.7,1150,22,6.0,84,2014-05-01
405,AMD,Ryzen 7 1700,Zen,8,16,3.0,3.7,AM4,14,16.0,65,2017-03-02
211,Intel,Core i7-10700K,Comet Lake,8,16,3.8,5.1,1200,14,16.0,125,2020-05-27
429,AMD,Ryzen 7 3800X,Matisse,8,16,3.9,4.5,AM4,7,32.0,105,2019-07-07
445,AMD,A6-9550,Bristol Ridge,2,2,3.8,4.0,AM4,28,,65,2017-07-27
175,Intel,Pentium G645T,Sandy Bridge,2,2,2.5,,1155,32,3.0,35,2012-09-02
71,Intel,Celeron G3900,Skylake,2,2,2.8,,1151,14,4.0,51,2015-09-01
463,AMD,A6-3620,Llano,4,4,2.2,2.5,FM1,32,,65,2011-12-20
466,AMD,E2-3200,Llano,2,2,2.4,,FM1,32,,65,2011-09-07
310,Intel,Xeon Phi 7230,Knights Landing,64,256,1.3,1.5,3647,14,,215,2016-06-20
67,Intel,Pentium Gold G5400,Coffee Lake,2,4,3.7,,1151,14,4.0,51,2018-04-02
600,Intel,Core i7-4600M,Haswell,2,4,2.9,3.6,G3,22,4.0,37,2013-09-01
24,Intel,Pentium G3250,Haswell,2,2,3.2,,1150,22,3.0,54,2014-07-21
31,Intel,Core i3-4330T,Haswell,2,4,3.0,,1150,22,4.0,35,2013-09-01
543,AMD,E-450,Zacate,2,2,1.6,,FT1,40,,18,2011-08-22
68,Intel,Pentium Gold G5500,Coffee Lake,2,4,3.8,,1151,14,4.0,51,2018-04-02
737,Intel,Core i5-5350U,Broadwell-U,2,4,1.8,2.9,BGA1168,14,3.0,15,2015-03-01
329,AMD,Phenom II X6 1100T BE,Thuban,6,6,3.3,3.7,AM3,45,6.0,125,2010-12-07
334,AMD,Phenom II X4 970 BE,Zosma,4,4,3.5,,AM3,45,6.0,125,2010-10-01
801,Intel,Core i7-4760HQ,Crystalwell,4,8,2.1,3.3,BGA1364,22,8.0,47,2014-02-01
588,Intel,Core i7-3632QM,Ivy Bridge,4,8,2.2,3.2,G2 (988B),22,6.0,35,2012-10-19
245,Intel,Xeon E5-2630 v2,Ivy Bridge-EP,6,12,2.6,,2011,22,15.0,80,2013-09-01
301,Intel,Xeon W-3175X,Skylake-W,28,56,3.1,4.3,3647,14,38.0,255,2018-12-19
77,Intel,Core i5-6500,Skylake,4,4,3.2,3.6,1151,14,6.0,65,2015-07-02
251,Intel,Xeon E5-2650 v2,Ivy Bridge-EP,8,16,2.6,3.4,2011,22,20.0,95,2013-09-01
717,Intel,Core i3-2367M,Sandy Bridge,2,4,1.4,,BGA1023,32,3.0,17,2011-10-01
660,AMD,Ryzen Threadripper 1940X,Zen,14,28,3.5,4.0,SP3r2,14,32.0,180,2017-07-29
594,Intel,Celeron 2955U,Haswell,2,2,1.4,,G3,22,2.0,15,2013-09-01
795,Intel,Core i7-8559U,Kaby Lake-R,4,8,2.7,4.5,BGA1356,14,8.0,28,2018-04-05
73,Intel,Pentium G4400,Skylake,2,2,3.3,,1151,14,4.0,51,2015-09-01
528,AMD,A6-3410MX,Llano,4,4,1.6,2.3,FS1,32,,45,2011-06-14
568,Intel,Pentium B940,Sandy Bridge,2,2,2.0,,G2 (988B),32,2.0,35,2011-06-19
295,Intel,Xeon Platinum 8268,Cascade Lake-SP,24,48,2.9,3.9,3647,14,35.0,205,2018-12-11
715,Intel,Core i5-2435M,Sandy Bridge,2,4,2.4,,BGA1023,32,3.0,35,2011-09-01
527,AMD,A8-3500M,Llano,4,4,1.5,2.4,FS1,32,,35,2011-06-14
140,Intel,Core i7-9700KF,Coffee Lake,8,8,3.6,4.9,1151,14,12.0,95,2019-01-08
